City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
131,Mataura,NZ,-46.1927,168.8643,55.54,96,100,1.21,overcast clouds
132,Biak,ID,-0.9131,122.8766,75.83,82,33,1.39,scattered clouds
133,Jackson,US,42.4165,-122.8345,53.47,78,100,0.0,overcast clouds
134,Chemax,MX,20.65,-87.9333,85.8,33,0,7.27,clear sky
135,Eyrarbakki,IS,63.863,-21.1481,39.25,85,100,12.88,overcast clouds
136,Pisco,PE,-13.7,-76.2167,71.65,73,0,10.36,clear sky
137,Half Moon Bay,US,37.4636,-122.4286,53.82,94,20,6.91,few clouds
138,Palmer,US,42.1584,-72.3287,29.77,31,75,14.97,broken clouds
139,Coquimbo,CL,-29.9533,-71.3436,60.53,82,75,4.61,broken clouds
140,Maragogi,BR,-9.0122,-35.2225,83.08,73,98,12.03,overcast clouds
141,Zharkovskiy,RU,55.849,32.2697,43.77,76,92,17.56,overcast clouds
142,Boddam,GB,57.4667,-1.7833,53.98,81,17,8.46,few clouds
143,Ixtapa,MX,20.7,-105.2,67.23,73,0,4.61,clear sky
144,Soledade,BR,-28.8183,-52.5103,77.7,35,0,4.29,clear sky
145,Kabo,CF,7.6994,18.629,101.68,9,71,2.42,broken clouds
146,Toamasina,MG,-18.1667,49.3833,82.4,83,40,6.91,scattered clouds
147,Luderitz,NA,-26.6481,15.1594,66.92,70,0,5.91,clear sky
148,Montague,US,42.5356,-72.5351,30.79,38,93,14.05,overcast clouds
149,Terney,RU,45.0503,136.6092,31.3,80,3,5.48,clear sky
150,Fortuna,US,40.5982,-124.1573,52.66,97,100,5.75,overcast clouds
151,Vardo,NO,70.3705,31.1107,26.58,80,40,21.85,scattered clouds
152,Kenai,US,60.5544,-151.2583,34.03,85,100,20.71,overcast clouds
153,Inongo,CD,-1.95,18.2667,77.83,81,58,17.0,moderate rain
154,Dukat,RU,62.55,155.55,-0.69,95,100,8.46,overcast clouds
155,Saskylakh,RU,71.9167,114.0833,-0.29,95,100,11.21,overcast clouds
156,Katsuura,JP,35.1333,140.3,53.15,65,100,13.06,overcast clouds
157,Port Lincoln,AU,-34.7333,135.8667,61.95,88,2,7.4,clear sky
158,Divnomorskoye,RU,44.5011,38.1353,40.1,65,2,13.27,clear sky
159,Salalah,OM,17.0151,54.0924,82.49,54,20,5.75,few clouds
160,Lompoc,US,34.6391,-120.4579,55.94,82,75,11.5,broken clouds
161,Caravelas,BR,-17.7125,-39.2481,86.76,53,100,8.55,overcast clouds
162,Laguna,US,38.421,-121.4238,55.09,89,100,5.75,overcast clouds
163,Casian,PH,11.035,119.7136,82.18,79,100,21.18,overcast clouds
164,Cabedelo,BR,-6.9811,-34.8339,88.47,72,71,14.09,broken clouds
165,Severo-Kurilsk,RU,50.6789,156.125,29.41,95,92,40.29,snow
166,Guerrero Negro,MX,27.9769,-114.0611,63.72,67,100,4.52,overcast clouds
167,Honiara,SB,-9.4333,159.95,78.12,90,100,4.63,overcast clouds
168,Falam,MM,22.9167,93.6833,58.26,70,56,3.13,broken clouds
169,Martapura,ID,-3.4167,114.85,78.89,94,90,3.44,overcast clouds
170,Robertsport,LR,6.7533,-11.3686,83.44,71,14,11.83,light rain
171,Geraldton,AU,-28.7667,114.6,75.61,73,98,18.41,overcast clouds
172,Taltal,CL,-25.4,-70.4833,68.4,71,26,5.73,scattered clouds
173,Bahia Honda,CU,22.9036,-83.1592,79.95,43,0,11.16,clear sky
174,Ginir,ET,7.1333,40.7,66.99,25,67,6.96,broken clouds
175,Hithadhoo,MV,-0.6,73.0833,82.0,62,64,3.58,broken clouds
176,Zaozerne,UA,45.1582,33.2787,44.4,60,1,12.35,clear sky
177,Perivolion,GR,39.4206,20.0147,62.15,68,99,12.57,overcast clouds
178,Batemans Bay,AU,-35.7167,150.1833,67.1,94,100,4.7,overcast clouds
179,Ponta Do Sol,PT,32.6667,-17.1,67.12,65,99,3.31,overcast clouds
180,Sabang,ID,5.8933,95.3214,83.62,70,71,1.81,broken clouds
181,Stornoway,GB,58.2093,-6.3865,54.93,75,20,3.44,few clouds
182,Victoria,HK,22.2855,114.1577,65.25,88,99,11.99,overcast clouds
183,Namatanai,PG,-3.6667,152.4333,79.45,83,98,4.9,light rain
184,Hasaki,JP,35.7333,140.8333,50.4,54,100,15.01,overcast clouds
185,Nosy Varika,MG,-20.5833,48.5333,76.33,90,100,9.4,moderate rain
186,Hammerfest,NO,70.6634,23.6821,25.25,74,75,9.22,broken clouds
187,Sao Filipe,CV,14.8961,-24.4956,70.38,80,98,9.89,overcast clouds
188,Iquitos,PE,-3.7481,-73.2472,80.64,74,75,2.3,broken clouds
189,Agnibilekrou,CI,7.1344,-3.2047,100.42,23,70,3.51,broken clouds
190,Saint Anthony,US,45.0205,-93.218,30.92,33,0,10.36,clear sky
191,Mar Del Plata,AR,-38.0023,-57.5575,73.87,65,0,14.97,clear sky
192,Chaadayevka,RU,53.1427,45.9122,21.58,83,100,13.2,overcast clouds
193,Male,MV,4.1748,73.5089,85.95,70,20,5.75,few clouds
194,Pevek,RU,69.7008,170.3133,-21.3,96,25,4.29,scattered clouds
195,Sangar,RU,63.9242,127.4739,7.5,94,100,2.66,overcast clouds
196,Hofn,IS,64.2539,-15.2082,28.42,80,100,12.66,light snow
197,Flinders,AU,-34.5833,150.8552,68.18,93,100,8.99,light rain
198,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.53,76,93,11.77,overcast clouds
199,Abu Kamal,SY,34.4506,40.9171,62.82,24,0,8.77,clear sky
200,Borba,BR,-4.3878,-59.5939,83.82,80,100,2.28,moderate rain
201,Marawi,PH,7.9986,124.2928,68.54,93,100,2.75,overcast clouds
202,Dandong,CN,40.1292,124.3947,37.29,61,0,3.65,clear sky
203,Bethel,US,41.3712,-73.414,30.58,48,100,13.0,overcast clouds
204,Nome,US,64.5011,-165.4064,23.07,74,0,11.5,clear sky
205,Cabo San Lucas,MX,22.8909,-109.9124,81.52,24,56,1.99,broken clouds
206,Mount Gambier,AU,-37.8333,140.7667,53.51,94,75,6.91,broken clouds
207,Husavik,IS,66.0449,-17.3389,29.52,60,100,8.57,overcast clouds
208,Bedele,ET,8.456,36.353,72.25,27,97,1.95,overcast clouds
209,Ossora,RU,59.2353,163.0719,27.48,96,100,30.22,snow
210,Cherskiy,RU,68.75,161.3,-17.19,100,34,3.65,scattered clouds
211,Severnyy,RU,50.677,36.5532,41.04,45,0,13.42,clear sky
212,Semporna,MY,4.4818,118.6112,77.83,88,100,9.73,overcast clouds
213,Ilulissat,GL,69.2167,-51.1,35.62,44,20,20.71,few clouds
214,Puerto Madryn,AR,-42.7692,-65.0385,72.14,23,0,15.86,clear sky
215,Madang,PG,-5.2246,145.7966,75.52,95,100,5.41,overcast clouds
216,Parfino,RU,57.9731,31.6481,37.27,73,99,14.65,overcast clouds
217,Airai,TL,-8.9266,125.4092,59.95,94,98,0.69,overcast clouds
218,Richards Bay,ZA,-28.783,32.0377,76.24,76,0,15.21,clear sky
219,General Roca,AR,-39.0333,-67.5833,71.62,21,1,13.78,clear sky
220,Rawson,AR,-43.3002,-65.1023,71.37,24,20,19.82,few clouds
221,Suez,EG,29.9737,32.5263,65.61,34,0,18.9,clear sky
222,Naze,JP,28.3667,129.4833,61.72,86,100,14.9,overcast clouds
223,Bursa,TR,40.1667,29.0833,60.84,59,100,2.46,overcast clouds
224,Portland,US,45.5234,-122.6762,55.42,86,100,5.99,overcast clouds
225,Kumbo,CM,6.2,10.6667,84.09,12,47,3.2,scattered clouds
226,La Libertad,EC,-2.2333,-80.9,82.06,78,20,9.22,few clouds
227,Waitati,NZ,-45.75,170.5667,55.09,97,97,4.94,overcast clouds
228,Bambous Virieux,MU,-20.3428,57.7575,80.85,74,40,3.44,scattered clouds
229,Cidreira,BR,-30.1811,-50.2056,76.12,54,0,6.89,clear sky
230,Hobyo,SO,5.3505,48.5268,80.47,68,33,17.36,scattered clouds
231,Provideniya,RU,64.3833,-173.3,3.74,83,7,5.37,clear sky
232,Carballo,ES,43.213,-8.691,67.42,84,100,2.24,overcast clouds
233,Magnolia,US,33.2671,-93.2393,55.09,64,6,4.38,clear sky
234,Barcelos,PT,41.5388,-8.6151,70.68,61,100,3.78,overcast clouds
235,Rincon,US,32.296,-81.2354,66.94,27,20,3.44,few clouds
236,Kikwit,CD,-5.041,18.8162,79.79,71,99,0.89,overcast clouds
237,Murray Bridge,AU,-35.1167,139.2667,61.12,91,0,5.88,clear sky
238,Zhigalovo,RU,54.8097,105.1578,-2.09,100,59,2.51,broken clouds
239,Aktau,KZ,43.65,51.2,36.18,47,100,26.19,overcast clouds
240,Constitucion,CL,-35.3333,-72.4167,65.01,50,0,13.94,clear sky
241,Iberia,US,29.9502,-91.7507,75.96,78,75,4.61,broken clouds
242,Lavrentiya,RU,65.5833,-171.0,-4.65,88,23,6.2,few clouds
243,Ostrovnoy,RU,68.0531,39.5131,21.92,72,100,13.58,light snow
244,Akcaabat,TR,41.0212,39.5715,44.47,76,0,9.22,clear sky
245,Wau,SS,7.7029,27.9953,93.6,12,90,3.62,overcast clouds
246,Ko Samui,TH,9.5357,99.9357,85.95,67,37,4.23,scattered clouds
247,Bonavista,CA,48.6499,-53.1147,37.09,82,85,9.28,overcast clouds
248,Vanimo,PG,-2.6741,141.3028,77.36,94,100,8.48,overcast clouds
249,Cayenne,GF,4.9333,-52.3333,84.24,1,75,14.97,broken clouds
250,Panaba,MX,21.2833,-88.2667,86.0,32,0,14.41,clear sky
251,La Asuncion,VE,11.0333,-63.8628,82.13,74,22,16.11,few clouds
252,Yuanping,CN,38.7153,112.7575,47.5,42,90,1.41,overcast clouds
253,Ayan,RU,56.45,138.1667,8.56,82,83,5.61,broken clouds
254,Batagay-Alyta,RU,67.8006,130.4114,-13.58,89,52,6.11,broken clouds
255,Timmins,CA,48.4669,-81.3331,6.62,56,40,12.66,scattered clouds
256,Nhulunbuy,AU,-12.2333,136.7667,77.61,94,11,2.3,few clouds
257,Kyra,RU,49.5776,111.9753,10.35,84,11,5.68,few clouds
258,San Jeronimo,PE,-11.9472,-75.2829,56.7,67,96,1.72,overcast clouds
259,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,77.83,41,0,2.42,clear sky
260,Zenzeli,RU,45.9241,47.0474,36.12,36,77,14.25,broken clouds
261,Dalvik,IS,65.9702,-18.5286,28.33,62,100,5.53,overcast clouds
262,Kumba,CM,4.6363,9.4469,86.47,59,59,8.03,light rain
263,Trofors,NO,65.5333,13.4063,30.07,93,100,2.95,snow
264,Mugla,TR,37.2303,28.3557,49.68,55,96,5.12,overcast clouds
265,Muroto,JP,33.2833,134.15,54.39,63,100,10.8,light rain
266,Sandakan,MY,5.8402,118.1179,76.68,94,20,3.44,few clouds
267,Farmington,US,36.7281,-108.2187,55.2,33,0,8.05,clear sky
268,Quatre Cocos,MU,-20.2078,57.7625,80.71,71,27,5.5,scattered clouds
269,Chumikan,RU,54.7183,135.315,10.63,93,90,6.15,overcast clouds
270,Northam,GB,51.0333,-4.2167,57.65,76,100,10.85,light rain
271,Pio Xii,BR,-3.8325,-45.1525,84.4,78,83,3.38,broken clouds
272,Shaki,AZ,41.0833,47.1667,42.19,39,24,15.84,few clouds
273,Kalmunai,LK,7.4167,81.8167,81.18,77,2,7.63,clear sky
274,Nakamura,JP,32.9833,132.9333,54.16,79,100,3.18,overcast clouds
275,Kargasok,RU,59.0556,80.8572,20.05,94,17,8.95,few clouds
276,Moyale,KE,3.5167,39.0584,80.33,32,100,9.8,overcast clouds
277,Porbandar,IN,21.6422,69.6093,81.9,60,8,11.21,clear sky
278,Ballarat,AU,-37.5662,143.8496,54.25,93,63,5.37,broken clouds
279,East London,ZA,-33.0153,27.9116,86.94,51,0,6.91,clear sky
280,Lethem,GY,3.3803,-59.7968,86.05,66,75,13.8,broken clouds
281,Shellbrook,CA,53.2168,-106.4011,20.43,87,100,8.88,overcast clouds
282,Chuguyevka,RU,44.1653,133.8633,26.91,80,6,5.48,clear sky
283,Sorland,NO,67.667,12.6934,33.76,45,100,27.02,overcast clouds
284,Simoes,BR,-7.5989,-40.8178,84.27,63,88,10.45,light rain
285,Souillac,MU,-20.5167,57.5167,80.98,74,40,3.44,scattered clouds
286,Sogod,PH,10.3847,124.9814,76.64,94,100,4.32,overcast clouds
287,Sola,VU,-13.8833,167.55,81.39,80,100,14.0,overcast clouds
288,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,69,76,7.54,broken clouds
289,Tiksi,RU,71.6872,128.8694,-13.94,100,100,5.88,overcast clouds
290,Ziyang,CN,29.2497,117.8547,50.04,92,17,4.61,few clouds
291,Bathsheba,BB,13.2167,-59.5167,84.81,58,20,24.16,few clouds
292,Acapulco,MX,16.8634,-99.8901,78.62,36,20,6.91,few clouds
293,Porto Recanati,IT,43.4365,13.6613,61.72,51,90,11.41,overcast clouds
294,Ler,SS,8.3018,30.1418,95.52,12,93,2.62,overcast clouds
295,Chapais,CA,49.7834,-74.8492,2.98,81,100,11.36,overcast clouds
296,Ranong,TH,9.9658,98.6348,79.83,86,99,3.51,overcast clouds
297,Yuzha,RU,56.5831,42.0122,23.05,93,100,13.0,snow
298,Kewanee,US,41.2456,-89.9248,32.79,26,100,7.63,overcast clouds
299,Fandriana,MG,-20.2333,47.3833,62.87,98,93,5.39,moderate rain
300,Jimenez,MX,28.3333,-105.4,72.86,11,56,3.04,broken clouds
301,Havre-Saint-Pierre,CA,50.2334,-63.5986,30.56,100,100,5.75,mist
302,Aripuana,BR,-9.1667,-60.6333,84.51,76,96,2.51,light rain
303,Victor Harbor,AU,-35.5667,138.6167,60.46,88,2,6.24,clear sky
304,Vila Velha,BR,-20.3297,-40.2925,91.35,59,20,11.5,few clouds
305,Guarda,PT,40.5373,-7.2658,64.24,54,100,7.81,overcast clouds
306,Canutama,BR,-6.5339,-64.3831,84.31,77,95,2.44,overcast clouds
307,Baykit,RU,61.67,96.37,-0.49,100,62,2.91,broken clouds
308,Povenets,RU,62.8487,34.8262,21.15,85,100,11.95,overcast clouds
309,Alipur,PK,29.3846,70.9116,89.11,8,0,2.59,clear sky
310,Edd,ER,13.9297,41.6925,83.84,59,9,4.47,clear sky
311,Aklavik,CA,68.2191,-135.0107,-21.17,100,100,1.68,overcast clouds
312,Leshukonskoye,RU,64.8989,45.7622,13.39,92,73,1.79,broken clouds
313,San Francisco,US,37.7749,-122.4194,53.37,93,100,8.05,mist
314,Port Macquarie,AU,-31.4333,152.9167,67.89,100,75,1.14,light rain
315,Erzin,TR,36.9559,36.2,53.1,66,0,2.77,clear sky
316,Kibre Mengist,ET,5.8833,38.9833,72.66,28,93,3.11,overcast clouds
317,Talara,PE,-4.5772,-81.2719,83.16,61,40,11.5,scattered clouds
318,Saint George,US,37.1041,-113.5841,66.25,17,0,14.97,clear sky
319,Senneterre,CA,48.3835,-77.2328,7.36,81,100,11.34,overcast clouds
320,Esperance,AU,-33.8667,121.9,62.44,75,86,10.8,overcast clouds
321,Tual,ID,-5.6667,132.75,82.58,76,90,11.5,overcast clouds
322,Gorom-Gorom,BF,14.4439,-0.2361,102.18,4,4,17.52,clear sky
323,Oxbow,CA,49.2333,-102.1676,27.64,67,100,16.17,overcast clouds
324,Langxiang,CN,46.95,128.8833,31.66,76,89,5.91,overcast clouds
325,Hermosillo,MX,29.0667,-110.9667,75.85,22,99,3.0,overcast clouds
326,Tuatapere,NZ,-46.1333,167.6833,57.0,94,100,1.97,overcast clouds
327,Dunedin,NZ,-45.8742,170.5036,55.62,95,98,6.49,overcast clouds
328,Casambalangan,PH,18.3765,122.1274,78.94,83,20,8.19,few clouds
329,Namibe,AO,-15.1961,12.1522,76.98,61,91,17.78,overcast clouds
330,Brae,GB,60.3964,-1.353,41.43,59,100,11.14,overcast clouds
331,Beringovskiy,RU,63.05,179.3167,-10.88,99,66,4.85,broken clouds
